identifier,Reconciled names,"Name (Last, First)",image,BG's Nickname or Reference,Life Dates,Biographical Description
00138,Helen Clay Frick,"Frick, Helen",Helen Clay Frick (cropped).jpg,,1888-1984,"American philanthropist and art collector, she curated her father's collection into what became The Frick Collection in New York"
00139,"Frick, Henry Clay","Frick, Henry Clay",Henry_Clay_Frick.jpg,,1849-1919,"American industrialist and anti-union businessman, avid collector of Old Master paintings, who acquired large portions of J.P. Morgan's collection upon its dispersal following Morgan's death in 1913"
00140,Max Jakob Friedländer,"Friedländer, Max Jakob",Friedlaender-max-j-aus-aan-max-j-friedlaender-1867-5-juni-1942-vorsatz.jpg,,1867-1958,"German museum curator and art historian, specialist in Early Netherlandish painting and the Northern Renaissance"
00141,"Fry, Roger","Fry, Roger",,,1866-1934,"English painter, art critic, and scholar involved in establishing the Burlington Magazine in 1903"
00142,"Fulgence, H.","Fulgence, H.",,,,"Founder of Fulgence et Fils, Parisian art dealership run by three subsquent generations of the Fulgence family"
00143,"Gardiner, Billy","Gardiner, Billy",,,,"BG asks Billy Gardiner, ""a man (married with 2 children) whom I had known & liked quite some time,"" to meet Isadora Duncan in March 1911. He does not appear to be the American publicist William H. Gardiner (b. 1875), whom BG may have met at Roland Conklin's home in March 1910 (see ""Gardiner""). William H. Gardiner did not have any children."
00144,"Gardner, Henry Burchell","Gardner, Henry Burchell",,,1891-1932,"Husband of Sarah Spencer Morgan; son-in-law of Junius Spencer Morgan"
00145,"Gardner, Isabella Stewart","Gardner, Isabella Stewart",Isabella_Stewart_Gardner_in_1888.jpg,"Grisabella; Mrs. Jack Gardner; Eros/Eris?; Wasabella; varmint; ""the she-devil""; Wusabella",1840-1924,"Boston art collector (for whom Bernard Berenson served as chief art advisor) and philanthropist who founded the Isabella Stewart Gardner Museum in 1903"
00480,"Gardner, Sarah Spencer Morgan","Gardner, Sarah Spencer Morgan",,,1893-1949,"Daughter of Junius Spencer and Josephine Perry Morgan"
00147,Alice Warder Garrett,"Garrett, Alice Warder",Alice Warder Garrett SAAM-1952.13.32 1.jpg,,1877-1952,"Baltimore philanthropist and art collector (mostly paintings), served on the board for the Baltimore Museum of Art"
00148,John Warne Gates,"Gates, John Warne",John Warne Gates.jpg,,1855-1911,"American industrialist whose companies were incorporated into the US Steel trust"
00149,"Gatti-Casazza, Frances Alda","Gatti-Casazza, Frances Alda",,Alda; Mrs. Gatti-Casazza,1879-1952,"Opera soprano and wife of Giulio Gatti-Casazza, director of the Metropolitan Operan"
00150,"Gayley, Julia Thurston","Gayley, Julia Thurston",,,1864-1937,"American socialite who married and subsequently divorced James Gayley, an American chemist and director of Carnegie Steel"
00151,Helena de Kay Gilder,"Gilder, Helena de Kay",,,1846-1916,"American illustrator and artist; wife of Richard Watson Gilder"
00152,"Gilder, Richard Watson","Gilder, Richard Watson",,,1844-1909,"Editor-in-chief of the Century Monthly Magazine"
00153,René Gimpel,"Gimpel, René",,,1881-1945,"Jewish Parisian art dealer who was active in French resistance efforts during World War II"
00154,"Girscom, Lloyd Carpenter","Girscom, Lloyd Carpenter",,,1872-1959,"American diplomat, lawyer, and publisher who served as Ambassador to Italy"
00155,"Glaenzer, Eugene","Glaenzer, Eugene",,,1857-1923,"Art dealer and manager of the New York branch of Jacques Seligmann & Co., Inc."
00156,"Goldman, Henry","Goldman, Henry",,,1856/7-1937,"American banker, philanthropist and art collector, member of the Goldman-Sachs family"
00157,"Goldschmidt, Adolph","Goldschmidt, Adolph",,,1963–1944,"Jewish German art historian and sculpture specialist"
00158,"Goloubeff, M. Victor","Goloubeff, M. Victor",,,1878-1945,"French art historian specializing in Indian art"
00159,"Gorer, Edgar","Gorer, Edgar",,,1872-1915,"English dealer in Chinese art and rival of Duveen; died aboard the Lusitania when it sank"
00160,Marjorie Gould,"Gould, Marjorie",Marjorie Gould LCCN2014682811 (cropped).jpg,,1890-1955,"American socialite who married Anthony Drexel Jr., in 1910"
00161,"Grannis, Ruth","Grannis, Ruth",,,1872-1954,"American bibliophile and Librarian of the Grolier Club"
00162,"Grant, Ethel","Grant, Ethel",EthelWattsMumfordGrant1908.png,"White Ethel, Black Ethel",1876/78-1940,"As Ethel Watts Mumford, American playright, poet, and novelist"
00163,"Grant, Peter Geddes","Grant, Peter Geddes",,PG,,"Husband of Ethel Grant"
00164,Harley Granville-Barker,"Granville-Barker, Harley","Granville Barker, three-quarters bust LCCN2014680597 (cropped).jpg",,1877-1946,"English actor, director, playwright, and critic; directed three productions of Shakespeare in 1910s which were crticized and celebrated for their modern approach"
00165,"Greene, Genevieve Ida Van Vliet Fleet","Greene, Genevieve Ida Van Vliet Fleet",,,1849-1941,"BG's mother"
00166,"Greene, Russell da Costa","Greene, Russell da Costa",,,1878-1962,"BG's brother, a successful engineer who passed as White"
00167,"Greener, Richard T.","Greener, Richard T.",,,1844-1922,"BG's estranged father and first African-American man to graduate from Harvard College; lawyer, educator, and diplomat"
00168,Ferris Greenslet,"Greenslet, Ferris",,,1875-1959,"American writer and editor at the Atlantic Monthly (1902-1907) and Houghton Mifflin (1910-1952)"
00169,"Grétor, William","Grétor, William",,,1868-1923,"German curator at the Kaiser-Friedrich Museum in Berlin"
00170,"Albert Grey, 4th Earl Grey","Grey, Albert Henry George",Albert Grey.jpg,,1851-1917,"British nobleman and politician who served as Governor General of Canada."
00171,Emilie Grigsby,"Grigsby, Emilie",Emily Grigsby LOC 27364663631.jpg,,d. 1964,"American socialite who moved permanently to England in the 1910s; had many assignations with wealthy men, including Charles T. Yerkes, the Chicago industrialist"
00172,"Grimké, Francis J.","Grimké, Francis J.",,,1850-1937,"American Presbyterian minister in Washington D.C., involved in founding NAACP in 1909"
00173,"Griscom, Elizabeth Duer","Griscom, Elizabeth Duer",,Mrs. Lloyd Griscom,1877-1914,"Wife of Lloyd C. Griscom and American socialite"
00174,"Gruel, Léon","Gruel, Léon",,,1841-1923,"French book-binder and dealer"
00175,"Guérin, Jules","Guérin, Jules",,,1866-1946,"American painter, muralist, and illustrator"
00176,"Guppy, Henry","Guppy, Henry",,,1861-1948,"Librarian at John Rylands Library, Manchester, UK"
00177,"Haggin, James Ben Ali","Haggin, James Ben Ali",,,1822-1914,"American attorney, art collector, and thoroughbred horse breeder"
00178,Anne Lyon Haight,"Haight, Anne Lyon",,,1895-1977,"American book collector and President of the Hroswitha Club"
00179,Frederic R. Halsey,"Halsey, Frederic R.",Frederic Robert Halsey (1847–1918) c. 1908.png,Fred,1847-1918,"American rare book and prints collector whose library of predominantly English and American literature was sold to Henry E. Huntington"
00180,Carl W. Hamilton,"Hamilton, Carl W.",,,1886-1967,"American collector of Italian Renaissance painting"
00181,Helen Morgan Hamilton,"Hamilton, Helen Morgan",Helen Hamilton Woods.jpg,,1896-1985,"Daughter of Juliet Morgan Hamilton"
00182,"Hamilton, Juliet Morgan","Hamilton, Juliet Morgan",,,1870-1952,"Second daughter of J.P. Morgan, married William Pierson Hamilton in 1894"
00183,William Pierson Hamilton,"Hamilton, William Pierson",,,1869-1950,"Husband of Juliet Morgan Hamilton"
00184,"Harding, Warren G.","Harding, Warren G.",,,1865-1923,"Twenty-ninth President of the United States (1921-1923)"
00185,Carol Averell Harriman,"Harriman, Carol Averell",Carol Averell Harriman at the Tuxedo Horse Show 1917.jpg,,1889-1948,"Daughter of Edward Harriman and friend of Carol Morgan Hamilton"
00186,Edward Henry Harriman,"Harriman, Edward H.",Edward Henry Harriman 1899.jpg,,1848-1909,"American railroad executive"
00187,Florence Jaffray Hurst,"Harriman, Florence Jaffray",Florence Jaffray Harriman (LCCN2014695667).jpg,Mrs. Bordy Harriman,1870-1967,"American socialite, suffragist, and reformer; wife of J. Borden Harriman"
00188,Ethel Harrison,"Harrison, Ethel",,"Black Ethel; the ""Varmint""; Reptile; the Vicious One",1851-1916,"British anti-suffrage writer and friend of Berenson; disliked acquaintance of BG's"
