Box Number,Folder Number,Date (YYYY/MM/DD),Letter_ID,I Tatti file name(s),sender,recipient,Letterhead,"Location Written (city, state)",Location Written (country),I Tatti Sheet Number(s),I Tatti Letter Number,Number of Pages,Number of Images,Notes,Accompanying Material,"Subject -- People (Last Name, First Name)",Subjects,Letters Contents,"Name of Transcriber 1 (Last Name, First Name)",Transcriber 1 Initials,Date Claimed (YYYY/MM/DD),Date Completed (YYYY/MM/DD),"Name of Transcriber 2 (Last Name, First Name)",Transcriber 2 Initials,Date Claimed (YYYY/MM/DD),Date Completed (YYYY/MM/DD),Date Finalized (YYYY/MM/DD),
60,02,1909_04_09,00011,"32044150446375_007, 32044150446375_008, 32044150446375_009, 32044150446375_010, 32044150446375_011, 32044150446375_046, 32044150446375_048","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,"19-23, 56, 58",,14,7,"""1909"" written by BB; images and I Tatti sheet numbers out of order",,"Frick, Henry Clay; Gardner, Isabella Stewart",Arabic literature; fiction; Canadian literature; poetry; Dutch art; language learning; private collections,"One Thousand and One Nights; exchange of books; Rembrandt, Self-Portrait (Frick, 1906.1.97); Bliss Carman, ""A Spring Feeling""; Italian lessons; Tuxedo; Mauretania (ship); Gardner collection; Settignano; BG wants portrait of BB for her apartment desk; Sintra, Portugal","Foner, Daria",DRF,2020/08/07,2020/08/17,"Palmer, Philip",PSP,2020/08/17,2020/08/17,2020/08/17,
60,02,1909_04_11 ,00012,"32044150446375_012, 32044150446375_013, 32044150446375_014, 32044150446375_015, 32044150446375_016, 32044150446375_017, 32044150446375_018, 32044150446375_019","Greene, Belle da Costa","Berenson, Bernard",BELLE,"Tuxedo, New York",United States,24-31,,16,8,"""09"" written by BB; numbered 3-8 beginning on third sheet",,"Higgins, Eugene",British literature; Canadian literature; poetry; fiction,"Tuxedo Park; Easter Sunday; nature; Browning; Bliss Carman, ""A Spring Feeling""; Richard Jefferies, ""The Pageant of Summer""","Foner, Daria",DRF,2020/08/12,2020/08/18,"Palmer, Philip",PSP,2020/08/18,2020/08/18,2020/08/18,
60,02,1909_04_14 ,00013,"32044150446375_020, 32044150446375_021, 32044150446375_022, 32044150446375_023","Greene, Belle da Costa","Berenson, Bernard",THE HOMESTEAD / FRED STERRY MANAGER / HOT SPRINGS. VA.,"Hot Springs, Virginia",United States,32-33,,6,4,"""09"" written by BB; numbered 2 on second sheet",,"Chatham, Kitty; French, Mary Walker; Rockefeller, John D.; Sousas; Van Sinderens; Conder, Charles; Morgan, J. Pierpont",,Hot Springs; Colony Club; Panic of 1907; Burlington Magazine; Standard Oil; Princeton Prom; Adriatic; BG maid; riding; golf,"Foner, Daria",DRF,2020/08/12,2020/08/19,"Palmer, Philip",PSP,2020/08/19,2020/08/19,2020/08/19,
60,02,1909_04_19_22,00014,"32044150446375_024, 32044150446375_025, 32044150446375_026, 32044150446375_027, 32044150446375_028, 32044150446375_029, 32044150446375_030, 32044150446375_031, 32044150446375_032","Greene, Belle da Costa","Berenson, Bernard",BELLE,"Hot Springs, Virginia",United States,34-42,,18,9,"""09"" written by BB",,"Rockefeller, John D.; French, Mary Walker; Vanderbilt, Anne Harriman Vanderbilt; Locke, William John; Thurston, Ada; Morgan, J. Pierpont; Rockefeller, John D.; Vanderbilt, William Kissam",British literature; British art; Arabic literature; poetry; fiction; early printed books,"Hot Springs; Burne-Jones, Edward; Chaucer, Parlement of Foules; One Thousand and One Nights; Scherazade; Portugal; William J. Locke, Septimus; Hypnerotomachia Poliphili; handwriting; Kronprinzessin Cecile (ship)","Foner, Daria",DRF,2020/08/12,2020/08/20,"Palmer, Philip",PSP,2020/08/20,2020/08/20,2020/08/20,
60,02,1909_04_23 ,00015,"32044150446375_033, 32044150446375_034, 32044150446375_035, 32044150446375_036, 32044150446375_037, 32044150446375_038, 32044150446375_039","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,43-49,,14,7,"""09"" written by BB",,"Lawler, Lillie; Anspacher, Louis; Marlowe, Julia; Lydig, Rita de Acosta; Purnington, Archer; Mitchell, John Ames; Robinson, Edward; Mrs. Edward Robinson; Valentiner, Wilhelm; Coe; Morgan, J. Pierpont; Hoskier, Herman Charles; Altman, Benjamin; Kann, Rodolphe; Kann, Maurice; Frick, Henry Clay; Huntington, Arabella; Morgan, Jack; Morgan, Jane Grew",American literature; poetry; Dutch art; Asian art; Greco-Roman art; acquisitions; private collections; cultural institutions,"Sintra, Portugal; Paris; Christian Science; Life [magazine]; Francis I binding; manuscript of Edgar Allan Poe, The Raven (MA 621); Metropolitan Museum of Art; Greek and Roman sculpture; Zeus; Praxiteles; Rembrandt paintings; Chinese and Persian rugs; Rembrandt, Portrait of a Man (""The Auctioneer"") (Met, 14.40.624); Rembrandt, Woman with a Pink (Met, 14.40.622); Rembrandt, Man with a Magnifying Glass (Met, 14.40.621); Frick Collection; Huntington Collection; Anti-Semitism","Foner, Daria",DRF,2020/08/12,2020/08/21,"Palmer, Philip",PSP,2020/08/21,2020/08/21,2020/08/21,
60,02,1909_04_29 ,00016,"32044150446375_040, 32044150446375_041, 32044150446375_042","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,50-52,,6,3,"""09"" written by BB; letter written in pencil",,"De Forests; Upson, Arthur",British literature; American literature; poetry,"Sintra, Portugal; handwriting; Swinburne's poetic style; Upson, Octaves in an Oxford Garden","Foner, Daria",DRF,2020/08/12,2020/08/22,"Palmer, Philip",PSP,2020/08/22,2020/08/22,2020/08/22,
60,02,1909_04_30 ,00017,"32044150446375_043, 32044150446375_044, 32044150446375_045, 32044150446375_047","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,"53-55, 57",,8,4,"""Apr. 30 '09"" written by BB; I Tatti sheet numbers out of order",,"Beach, George Spencer; Beach, Luella Estella Cottrell",images of BG,"Tomar, Portugal; Lenox; exchange of photographs","Foner, Daria",DRF,2020/08/12,2020/08/23,"Palmer, Philip",PSP,2020/08/23,2020/08/23,2020/08/23,
60,03,1909_05_05,00018,"32044150446391_001, 32044150446391_002","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,59-60,,2,2,"""09"" written by BB; 5 May 1909 was a Wednesday","Enclosed is image entitled, ""ON THE DARK STAIR, / WHERE A BEAR IS / SO LIABLE TO / FOLLOW ONE""; Signed cartoonist F[anny] Y[oung] COREY; bottom left: COPYRIGHT 1902 / BY CENTURY CO.; bottom right: COPLEY PAINT COPYRIGHT / [illegible]; See Catharine Young Glen, ""Jones's Little Girl with Pictures by Fanny Young Cory,"" Century Illustrated Monthly, Vol. 64 (1902), p. 75.",,,Atlantic City; BG's childhood nurse; printed illustration,"Foner, Daria",DRF,2020/08/15,2020/08/24,"Palmer, Philip",PSP,2020/08/24,2020/08/24,2020/08/24,
60,03,1909_05_09 ,00019,"32044150446391_003, 32044150446391_004, 32044150446391_005, 32044150446391_006, 32044150446391_007, 32044150446391_008, 32044150446391_009, 32044150446391_010, 32044150446391_011, 32044150446391_012, 32044150446391_013, 32044150446391_014, 32044150446391_015, 32044150446391_016, 32044150446391_017, 32044150446391_018, 32044150446391_019, 32044150446391_020","Greene, Belle da Costa","Berenson, Bernard","Marlborough-Blenheim / Atlantic City, N.J.","Atlantic City, New Jersey",United States,61-69,,18,18,"""'09"" written by BB",,"Hendrick, Peter; Hendrick, Julia Bowen; Rockefeller, John D.; Morgan, J. Pierpont",British literature; poetry; fiction; essays,"Atlantic City; W. E. Henley, ""A Thanksgiving""; sea; nature; Oscar Wilde; palm reading; New York Supreme Court; golf; Fiona Macleod, ""Sea-Magic and Running Water""; Richard Jefferies, ""Nature and Eternity""","Foner, Daria",DRF,2020/08/15,2020/08/25,"Palmer, Philip",PSP,2020/08/25,2020/08/25,2020/08/25,
60,03,1909_05_22 ,00020,32044150446391_021,"Greene, Belle da Costa","Berenson, Bernard","WILD ACRES / COS COB, CONN.","Cos Cob, Connectict",United States,70,,2,1,"""09"" written by BB; Wild Acres was the estate of Fred and Florence Gotthold",Originally sent with 1909_05_24 letter,,,,"Foner, Daria",DRF,2020/08/15,2020/08/26,"Palmer, Philip",PSP,2020/08/26,2020/08/26,2020/08/26,
60,03,1909_05_24 ,00021,"32044150446391_022, 32044150446391_023, 32044150446391_024, 32044150446391_025, 32044150446391_026","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,71-74,,10,5,"""09"" written by BB; last sheet missing Sheet Number",Originally enclosed 1909_05_22 letter,"Ditson, Alice; Greene, Russell De Costa",,Atlantic City; Tuxedo; horseback riding accident; sprained wrist; facial scar; BG appearance; Paris,"Foner, Daria",DRF,2020/08/15,2020/08/27,"Palmer, Philip",PSP,2020/08/27,2020/08/27,2020/08/27,
60,03,1909_05_28,00022,"32044150446391_027, 32044150446391_028","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,75–76,,4,2,"""'09"" written by BB",,"Read, Charles Hercules; Morgan, J. Pierpont; Serristori, Hortense",American literature; drama; cultural institutions,"Eugene Walter, The Easiest Way; Egypt; Paris; British Museum","Palmer, Philip",PSP,2021/02/07,2020/08/28,"Palmer, Philip",PSP,2020/08/28,2020/08/28,2020/08/28,
60,03,1909_06_01 ,00023,"32044150446391_029, 32044150446391_030, 32044150446391_031, 32044150446391_032","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,77-80,,8,4,"""09"" written by BB",,"Morgan, Junius Spencer; Morton, Johnny; Sands, Samuel Stevens (III); Sands, Gertrude Sheldon; Morgan, Josephine Perry",American literature; essays; poetry,"Woodmanston Inn; John L. Elliott, The Best in Life; Short Meter Sermons; Francis Thompson, ""Sister Songs""; Princeton; Harvard; Boston","Foner, Daria",DRF,2020/06/15,2020/08/29,"Palmer, Philip",PSP,2020/08/29,2020/08/29,2020/08/29,
60,03,1909_06_03 ,00024,"32044150446391_033, 32044150446391_034, 32044150446391_035","Greene, Belle da Costa","Berenson, Bernard","INDIAN FIELD / GREENWICH, CONNECTICUT","Greenwich, Connecticut",United States,81-82,,5,3,"""09"" written by BB",,,British literature; poetry,"Princeton; Robert Browning, ""With Christopher Smart""; handwriting; Settignano","Foner, Daria",DRF,2020/08/15,2020/08/30,"Palmer, Philip",PSP,2020/08/30,2020/08/30,2020/08/30,
60,03,1909_06_07,00025,"32044150446391_036, 32044150446391_037, 32044150446391_038","Greene, Belle da Costa","Berenson, Bernard",BELLE,"Princeton, New Jersey",United States,83-85,,6,3,"""09"" written by BB",,"Morgan, Junius Spencer; Morgan, Josephine Perry; Wilson, Woodrow; Wilson, Ellen Axson; McAlpin, Charles Willston; McAlpin, Sara Pyle; Eliot, Charles William",British literature; poetry; German literature,"Swinburne, ""Dolorida""; Princeton; facsimiles; Paradise Lost (MA 307); Faust (MA 877); Endymion (MA 208); Harvard Classics","Foner, Daria",DRF,2020/08/15,2020/08/18,"Palmer, Philip",PSP,2021/03/02,2021/03/02,2021/06/10,
60,03,1909_06_15 ,00026,"32044150446391_039, 32044150446391_040, 32044150446391_041, 32044150446391_042, 32044150446391_043, 32044150446391_044, 32044150446391_045, 32044150446391_046, 32044150446391_047","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,86-94,,18,9,"""09"" written by BB",,"Morgan, J. Pierpont",,BG's relationship with JPM,"Foner, Daria",DRF,2020/08/15,2020/08/19,"Palmer, Philip",PSP,2021/03/03,2021/03/03,2021/06/10,
60,03,1909_06_17,00027,"32044150446391_048, 32044150446391_049","Greene, Belle da Costa","Berenson, Bernard",,"New York, NY",United States,95,,1,1,"No letterhead; ""1909"" written by BB","Includes envelope (Return address: Mr. Morgan's Library, / 33, East 36th. Street, / New York)",,,Lost package; books and photographs sent by BB seem to be lost in mail; Long Island; Harvard; Washington; Florence,"Foner, Daria",DRF,2020/08/15,2020/08/19,"Palmer, Philip",PSP,2021/03/10,2021/03/10,2021/06/10,
60,03,1909_06_21,00028,"32044150446391_050, 32044150446391_051, 32044150446391_052, 32044150446391_053, 32044150446391_054, 32044150446391_055, 32044150446391_056, 32044150446391_057","Greene, Belle da Costa","Berenson, Bernard",BELLE,"Islip, New York",United States,96-103,,16,8,,,"Wagstaff, Alfred Jr.; Wagstaff, Mary Barnard; Gilder, Richard; Marlowe, Julia; Robinson, Elizabeth Gould; Morton, Johnson; Adams, Maude; Seligmann, Jacques; Laffan, William; Read, Charles Hercules; Hamilton, Juliet Morgan; Morgan, J. Pierpont",British literature; drama; Indian literature; Italian literature; poetry; Italian art; images of BG,"Baconian theory; William Shakespeare, Romeo and Juliet; motoring; Joan of Arc play; Berkshires; Upanishads; Edmond Scherer; exchange of books and photographs; Dante, Vita Nuova; Dante Gabriel Rossetti; ""Cavalieri"" terracotta; trip to Egypt; Boston; golf; tennis; coach driving lessons; Islip; Harvard; Tuxedo Park; London","Foner, Daria",DRF,2020/08/15,2020/08/19,"Palmer, Philip",PSP,2021/03/10,2021/03/10,2021/06/17,
60,03,1909_06_29,00029,"32044150446391_058, 32044150446391_059, 32044150446391_060, 32044150446391_061, 32044150446391_062, 32044150446391_063, 32044150446391_064, 32044150446391_065, 32044150446391_066, 32044150446391_067","Greene, Belle da Costa","Berenson, Bernard",BELLE,"Boston, Massachusetts",United States,104-113,,20,10,"""09"" written by BB",,"Lawrence, Bishop William; Lawrence, Julia Cunningham; Ditson, Alice; Schneider, Otto; Fitzhenry, Joseph Henry; Altman, Benjamin; Morgan, J. Pierpont; Durrieu, Paul",drama; Italian literature; fiction; British literature; poetry; cultural institutions; Medieval and Renaissance manuscripts; images of BG; private collections; French art,"Joan of Arc play; Harvard; Hasty Pudding; Pi Eta; Book Spread; horse show; vacation plans; South Kensington Museum (Victoria & Albert Museum); Altman collection; Paris; Corsair; Boccaccio manuscript; Berenson, Florentine Painters; Elizabeth Barrett Browning, Sonnets from the Portuguese; BG preference for 12th and 13th century manuscripts; Sun (newspaper); Tuxedo Park; motoring; Berkshires; Newport; White Mountains, NH; yachting trip; The Boulders; Jackson, NJ; Post Office; Dead Letter Office; Washington, DC; London; Ritz, London; Otto Schneider etching of BG (ARC 3271); drawing of BG; BG cable address; Paris; Munich; Durrieu, Le Boccace de Munich; Bourdichon manuscript","Foner, Daria",DRF,2020/08/15,2020/08/19,"Palmer, Philip",PSP,2021/03/15,2021/03/15,2021/06/17,
60,04,1909_07_UNDATED_01,00030,"32044150448389_001, 32044150448389_002, 32044150448389_003, 32044150448389_004, 32044150448389_005, 32044150448389_006, 32044150448389_038, 32044150448389_039, 32044150448389_040","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,"114-119, 148-150",,18,9,"""July 6th or later, '09"" written by BB; written after July 6; images and I Tatti sheet numbers out of order ",,"Greene, Russell De Costa; Gardner, Isabella Stewart; Jones, Alfred; Baroness Alphonse de Rothschild; Strong, Eugénie Sellers; Fitzhenry, Joseph Henry; Pollard, Alfred; Loschi; Romanov, Nicholas II; Vanderbilt, Cathleen Neilson; Ditson, Alice; Morgan, J. Pierpont; Lanier, Charles",British literature; poetry; Italian art; Italian literature; poetry; cultural institutions; language learning; private collections,"Newport; John Davidson, Ballad of a Man; Italian lessons; Giorgione; Gardner collection; Lanckoronski collection; attributions; Vita Nuova; Rothschild collection; collection catalogues; Chatsworth; Dreyfus collection; Dutuit collection; Martin Le Roy collection; Paris; thirst for knowledge; Andrew Lang, ""Another Way,"" from Grass of Parnassus; Circle of Giorgione, Christ Carrying the Cross (Isabella Stewart Gardner Museum, P26n17); London; British Museum; Sandy Point Farm (Vanderbilt estate in Newport); White Mountains, New Hampshire; Adirondacks","Foner, Daria",DRF,2020/08/19,2020/08/20,"Caldwell, Nicholas",NC,2021/03/05,2021/04/15,2021/06/17,
60,04,1909_07_12 ,00031,"32044150448389_043, 32044150448389_044","Greene, Belle da Costa","Berenson, Bernard","TWIN OAKS / BABYLON, LONG ISLAND.","Babylon, New York",United States,152,,3,2,"""'09"" written by BB; sheet rotated ninety degrees to right for page 3; incomplete letter",,"Ditson, Alice; Morgan, J. Pierpont",,BG learns that portrait of BB sent back to Italy; visit to Princes Gate; Dead Letter Office; Settignano; Florence; Reid Ball; Paris; Villa I Tatti,"Foner, Daria",DRF,2020/08/19,2020/08/20,"Palmer, Philip",PSP,2021/03/29,2021/03/29,2021/06/17,
60,04,1909_07_UNDATED_02,00032,"32044150448389_045, 32044150448389_046","Greene, Belle da Costa","Berenson, Bernard",The Library / Thirty-three East Thirty-sixth Street,"New York, NY",United States,153,,3,2,"""July 14, 09"" written by BB; sheet rotated ninety degrees to right for page 3; incomplete letter",Originally contained letter from William Laffan to BG.,"Truesdale, William; Truesdale, Annie; Harriman, Edward Henry; Morgan, J. Pierpont; Laffan, William",Italian art,Plan to travel to Europe and Egypt; Raphael; London; England; France; Italy; Egypt,"Foner, Daria",DRF,2020/08/19,2020/08/20,"Palmer, Philip",PSP,2021/03/29,2021/03/29,2021/06/17,
60,04,1909_07_19,00033,"32044150448389_007, 32044150448389_008, 32044150448389_009, 32044150448389_010, 32044150448389_011, 32044150448389_012, 32044150448389_013","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,120-126,,14,7,""",'09"" written by BB",,"Ditson, Alice; Duveen, Joseph; Altman, Benjamin; Hobby, Theodore Y.; Rey, Emile; Seligmann, Jacques; Read, Charles Hercules; Fitzhenry, Joseph Henry; Salting, George; Laffan, William; Morgan, J. Pierpont; Douglas, Langton",cultural institutions; German art; Italian art; private collections,"Altman collection; British Museum; Victoria and Albert Museum; Fitzhenry collection; South Kensington Museum; Staircase, Victoria and Albert Museum (A.8-1909); Corsair II; Dalmatian Coast; Holbein, Anne of Cleves, Victoria and Albert Museum (P.153:1,2-1910); Burlington Fine Arts Club, Hans Holbein exhibition; Raphael; Holbein, Christina of Denmark, National Gallery (NG2475); National Gallery; Crowe and Cavalcaselle; Lorenzetti, Ambrogio; Duccio; Salting collection; BG early life; BG destroying letters; Siena; London","Foner, Daria",DRF,2020/08/22,2020/08/22,"Palmer, Philip",PSP,2021/03/29,2021/03/29,2021/07/16,
60,04,1909_07_30,00034,"32044150448389_014, 32044150448389_015, 32044150448389_016, 32044150448389_017, 32044150448389_018, 32044150448389_019","Greene, Belle da Costa","Berenson, Bernard",The Library / Thirty-three East Thirty-sixth Street,"New York, NY",United States,127-129,,9,6,"""East"" in letterhead underlined eight times (most likely a reference to the letter of 6/29/09, p. 16, in which BG tells BB he had erroneously addressed one of his letters to ""West 36th St"" instead of East 36th St.); ""09"" written by BB",,"Morgan, J. Pierpont; Sassoon, Lady; Laffan, William Mackay; Pennington, Harper; Barnes, Grace Edith; Berenson, Mary; Jaccaci, August; Lee; Rockefeller, John D.; Frick, Henry Clay; Fry, Roger; LaFarge, John; Gardner, Isabella Stewart; Phillips, Claude",private collections,Adriatic; Baltimore; Boston; Mauretania; JPM paintings collection; Agnew's; Newport; Berkshires,"Foner, Daria",DRF,2020/08/19,2020/08/22,"Palmer, Philip",PSP,2021/03/30,2021/03/30,2021/07/16,
60,04,1909_08_03 ,00035,"32044150448389_031, 32044150448389_032, 32044150448389_033, 32044150448389_034, 32044150448389_035, 32044150448389_036, 32044150448389_037","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,141-147,,14,7,"""09"" written by BB",,"Dixon, George Arthur; Morgan, Frances Louisa Tracy; Morgan, J. Pierpont; Dixon, Sarah Pearl Dunton; Sloane, William Milligan; Markoe, James Wright; Durrieu, Paul; Lanier, Charles; Sloane, Mary Espy Johnstone",Medieval and Renaissance manuscripts; American literature; essays; French literature; Flemish art; French art,"BG early life; Lenox; BG past engagements; Princeton; Newport; New York Yacht Club; BG on marriage; Corsair II; William James, Pluralistic Universe; La Rochefoucauld; Foucquet; Paul de Limbourg; Jean Bourdichon; Cheltenham","Foner, Daria",DRF,2020/08/19,2020/08/22,"Palmer, Philip",PSP,2021/03/31,2021/03/31,2021/07/16,
60,04,1909_08_17,00036,"32044150448389_020, 32044150448389_021, 32044150448389_022, 32044150448389_023, 32044150448389_024, 32044150448389_025, 32044150448389_026, 32044150448389_027, 32044150448389_028, 32044150448389_029, 32044150448389_030","Greene, Belle da Costa","Berenson, Bernard",BELLE,"New York, NY",United States,130-140,,21,11,"""'09"" written by BB",,"Rembielinski, Stanislas; Read, Charles Hercules; Sassoon, Lady; Read, Lady Charles Hercules; Berenson, Mary; Thurston, Ada; Morgan, Junius Spencer; Ferri; Cuyler, Cornelius Cuyler; Cockerell, Sydney",British literature; poetry; Dutch art; Medieval and Renaissance manuscripts; private collections,"Milton, Lycidas; Newport; Rembrandt prints; Shelley letters to Elizabeth Hitchener; reading letters; Paradise Lost; Junius Spencer Morgan's break with family; Cuyler funeral; George W. Vanderbilt collection of Rembrandt prints; Theodore Irwin collection of Rembrandt Prints; Rembrandt, Hundred Guilder Print; Rembrandt, Ephraim Bonus; Rembrandt, Arnout Tholinx (RvR 399); Tammany Hall; Bar Harbour; Seabright, New Jersey; college friends; Phillips manuscripts; Cheltenham; William Morris manuscripts; exchange of photographs; Hercules Seghers, Tobias and the Angel; Eugene Dutuit, L'oeuvre complet de Rembrandt; Dmitri Rovinski, L'oevure grave de Rembrandt; Adam von Bartsch, Le peintre graveur; SS Kronprinz Wilhelm (ship); Seabright, New Jersey; Shrewsbury River; Versailles; Cambridge; Mauritania (ship)","Foner, Daria",DRF,2020/05/16,2020/05/29,"Palmer, Philip",PSP,2021/04/02,2021/04/02,2021/08/31,
60,04,1909_08_24,00037,"32044150448389_041, 32044150448389_042","Greene, Belle da Costa","Berenson, Bernard",The Library / Thirty-three East Thirty-sixth Street,"New York, NY",United States,151,,3,2,"""'09"" written by BB",,"Harriman, Edward H.; Truesdale, Annie Topping; Morgan, J. Pierpont",current events; finance,Railroad speculation; Union Pacific Railroad; exchange of photographs; SS Kronprinz Wilhelm (ship); Mauretania (ship); Florence; photographs of BB; Corsair II,"Foner, Daria",DRF,2020/08/19,2020/08/22,"Palmer, Philip",PSP,2021/04/13,2021/04/13,2021/08/31,
